urn,author,date
urn:cts:greekLit:tlg1183,Aristeas Epistolographus ca. v3. Jh.,300 BCE
urn:cts:greekLit:tlg0305,"Aristias, Tragicus, 5. Jh. v. Chr.",500 BCE
urn:cts:greekLit:tlg0284,"Aristides, Aelius",200 CE
urn:cts:greekLit:tlg5008,"Aristides, Aelius 117-187 | Scholia in orationes",200 CE
urn:cts:greekLit:tlg2194,"Aristides, of Miletus",200 BCE-100 BCE
urn:cts:greekLit:tlg1184,"Aristides, active 2nd century",200 CE
urn:cts:greekLit:tlg2054,Aristides Quintilianus,200 CE-400 CE
urn:cts:greekLit:tlg2513,"Aristippus, 435?-356? B.C.",500 BCE-400 BCE
urn:cts:greekLit:tlg2216,"Aristippus, Historicus,",Ante 200 BCE
urn:cts:greekLit:tlg1187,"Aristobulus, Cassandreus, 4./3. Jh.",400 BCE-300 BCE
urn:cts:greekLit:tlg2557,"Aristobulus, Milesius, ca. 1.Jh.n.Chr",100 CE
urn:cts:greekLit:tlg0571,"Aristocles, Historicus, 1. Jh. v. Chr.",300 BCE-100 CE
urn:cts:greekLit:tlg1188,"Aristocles, of Messene",200 CE
urn:cts:greekLit:tlg1189,"Aristocrates, Lacedaemonius, v1. Jh. / 1. Jh",100 BCE-100 CE
urn:cts:greekLit:tlg2455,"Aristocreon, Historicus, v3. Jh",300 BCE
urn:cts:greekLit:tlg2341,"Aristocritus, Milesius, v3. Jh",300 BCE
urn:cts:greekLit:tlg2148,"Aristodemus, Historicus, 4. Jh. v. Chr./2. Jh. n. Chr",400 BCE-200 CE
urn:cts:greekLit:tlg1875,"Aristodemus, Mythographus, 1. Jh. v. Chr.",100 BCE
urn:cts:greekLit:tlg0133,"Aristodicus, Rhodius, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg1191,Aristombrotus Philosophus v4. Jh.,400 BCE
urn:cts:greekLit:tlg2261,"Aristomenes, Atheniensis, 2. Jh",200 BCE
urn:cts:greekLit:tlg0419,"Aristomenes, Comicus, 5./4. Jh. v. Chr.",500 BCE-400 BCE
urn:cts:greekLit:tlg2447,"Ariston, Alexandrinus, ca. v1. Jh",100 BCE
urn:cts:greekLit:tlg0134,"Ariston, Epigrammaticus, 3./1. Jh. v. Chr",300 BCE-100 BCE
urn:cts:greekLit:tlg1192,"Ariston, of Ceos",300 BCE
urn:cts:greekLit:tlg2587,"Ariston, Cous",300 BCE/200 BCE
urn:cts:greekLit:tlg1193,"Ariston, of Chios",300 BCE
urn:cts:greekLit:tlg1992,"Ariston, Pellaeus, ca. 2. Jh",200 CE
urn:cts:greekLit:tlg1194,"Aristonicus, of Alexandria, ca. v1. Jh.",100 BCE-100 CE
urn:cts:greekLit:tlg1899,"Aristonicus, Tarentinus, ca. 2. Jh",200 CE
urn:cts:greekLit:tlg0204,"Aristonous, Corinthius, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg0420,"Aristonymus, Comicus, 5./4. Jh. v. Chr.",500 BCE-400 BCE
urn:cts:greekLit:tlg2353,Aristonymus Historicus,500 BCE
urn:cts:greekLit:tlg1195,"Aristonymus, Gnomologus, um 200 n. Chr.",250 BCE
urn:cts:greekLit:tlg0019,Aristophanes,500 BCE-400 BCE
urn:cts:greekLit:tlg5014,Aristophanes Scholia,Varia
urn:cts:greekLit:tlg1196,"Aristophanes, Boeotus,",400 BCE
urn:cts:greekLit:tlg0644,"Aristophanes, of Byzantium, 257-180 B.C.",300 BCE-200 BCE
urn:cts:greekLit:tlg0421,"Aristophon, 4th cent. B.C.",400 BCE
urn:cts:greekLit:tlg0086,Aristotle,400 BCE
urn:cts:greekLit:tlg0088,Aristoxenus,400 BCE
urn:cts:greekLit:tlg0241,Aristoxenus Selinuntius v7./6. Jh.,700 BCE-600 BCE
urn:cts:greekLit:tlg0529,"Didymos, ho Areios",100 BCE
urn:cts:greekLit:tlg0360,"Armenidas, Historicus, v5. Jh",500 BCE
urn:cts:greekLit:tlg0074,Arrian,100 CE-200 CE
urn:cts:greekLit:tlg0075,Arrian (Pseudo),600 CE-
