work,words
urn:cts:greekLit:tlg0027.tlg001,10057
urn:cts:greekLit:tlg0027.tlg002,1955
urn:cts:greekLit:tlg0027.tlg003,2678
urn:cts:greekLit:tlg0027.tlg004,2753
urn:cts:greekLit:tlg0028.tlg001,1756
urn:cts:greekLit:tlg0028.tlg002,2497
urn:cts:greekLit:tlg0028.tlg003,2148
urn:cts:greekLit:tlg0028.tlg004,1919
urn:cts:greekLit:tlg0028.tlg005,6346
urn:cts:greekLit:tlg0028.tlg006,3399
urn:cts:greekLit:tlg0029.tlg004,7510
urn:cts:greekLit:tlg0029.tlg005,1790
urn:cts:greekLit:tlg0029.tlg006,1376
urn:cts:greekLit:tlg0030.tlg001,1391
urn:cts:greekLit:tlg0030.tlg002,917
urn:cts:greekLit:tlg0030.tlg003,2354
urn:cts:greekLit:tlg0030.tlg004,2664
urn:cts:greekLit:tlg0030.tlg005,2128
urn:cts:greekLit:tlg0030.tlg006,2071
urn:cts:greekLit:tlg0031.tlg001,18248
urn:cts:greekLit:tlg0031.tlg002,11264
urn:cts:greekLit:tlg0031.tlg003,19443
urn:cts:greekLit:tlg0031.tlg004,15584
urn:cts:greekLit:tlg0031.tlg005,18371
urn:cts:greekLit:tlg0031.tlg006,7085
urn:cts:greekLit:tlg0031.tlg007,6813
urn:cts:greekLit:tlg0031.tlg008,4466
urn:cts:greekLit:tlg0031.tlg009,2232
urn:cts:greekLit:tlg0031.tlg010,2419
urn:cts:greekLit:tlg0031.tlg011,1632
urn:cts:greekLit:tlg0031.tlg012,1581
urn:cts:greekLit:tlg0031.tlg013,1475
urn:cts:greekLit:tlg0031.tlg014,822
urn:cts:greekLit:tlg0031.tlg015,1593
urn:cts:greekLit:tlg0031.tlg016,1245
urn:cts:greekLit:tlg0031.tlg017,659
urn:cts:greekLit:tlg0031.tlg018,334
urn:cts:greekLit:tlg0031.tlg019,4933
urn:cts:greekLit:tlg0031.tlg020,1734
urn:cts:greekLit:tlg0031.tlg021,1662
urn:cts:greekLit:tlg0031.tlg022,1095
urn:cts:greekLit:tlg0031.tlg023,2135
urn:cts:greekLit:tlg0031.tlg024,245
urn:cts:greekLit:tlg0031.tlg025,219
urn:cts:greekLit:tlg0031.tlg026,456
urn:cts:greekLit:tlg0031.tlg027,9850
urn:cts:greekLit:tlg0032.tlg001,66509
urn:cts:greekLit:tlg0032.tlg002,35813
urn:cts:greekLit:tlg0032.tlg003,17820
urn:cts:greekLit:tlg0032.tlg004,9532
urn:cts:greekLit:tlg0032.tlg005,2000
urn:cts:greekLit:tlg0032.tlg006,57169
urn:cts:greekLit:tlg0032.tlg007,79287
urn:cts:greekLit:tlg0032.tlg008,5969
urn:cts:greekLit:tlg0032.tlg009,7385
urn:cts:greekLit:tlg0032.tlg010,4925
urn:cts:greekLit:tlg0032.tlg011,3853
urn:cts:greekLit:tlg0032.tlg012,5779
urn:cts:greekLit:tlg0032.tlg013,6983
urn:cts:greekLit:tlg0032.tlg014,9142
urn:cts:greekLit:tlg0033.tlg001,5875
urn:cts:greekLit:tlg0033.tlg002,7427
urn:cts:greekLit:tlg0033.tlg003,4944
urn:cts:greekLit:tlg0033.tlg004,2899
urn:cts:greekLit:tlg0034.tlg001,10919
urn:cts:greekLit:tlg0035.tlg001,240
urn:cts:greekLit:tlg0035.tlg002,1132
urn:cts:greekLit:tlg0035.tlg003,898
urn:cts:greekLit:tlg0035.tlg004,888
urn:cts:greekLit:tlg0035.tlg005,261
urn:cts:greekLit:tlg0036.tlg001,717
urn:cts:greekLit:tlg0036.tlg002,226
urn:cts:greekLit:tlg0036.tlg003,721
urn:cts:greekLit:tlg0037.tlg001,1338
urn:cts:greekLit:tlg0039.tlg001,330
urn:cts:greekLit:tlg0041.tlg001,4772
urn:cts:greekLit:tlg0044.tlg001,478
urn:cts:greekLit:tlg0045.tlg001,627
urn:cts:greekLit:tlg0046.tlg001,735
urn:cts:greekLit:tlg0048.tlg001,2308
urn:cts:greekLit:tlg0053.tlg001,17664
urn:cts:greekLit:tlg0055.tlg001,8557
urn:cts:greekLit:tlg0057.tlg001,5079
urn:cts:greekLit:tlg0057.tlg002,1831
urn:cts:greekLit:tlg0057.tlg003,1387
urn:cts:greekLit:tlg0057.tlg004,6232
urn:cts:greekLit:tlg0057.tlg006,11963
urn:cts:greekLit:tlg0057.tlg007,16152
urn:cts:greekLit:tlg0057.tlg008,13421
urn:cts:greekLit:tlg0057.tlg009,27734
urn:cts:greekLit:tlg0057.tlg010,31802
urn:cts:greekLit:tlg0057.tlg011,78442
urn:cts:greekLit:tlg0057.tlg012,6936
urn:cts:greekLit:tlg0057.tlg013,7548
urn:cts:greekLit:tlg0057.tlg014,3605
urn:cts:greekLit:tlg0057.tlg015,4202
urn:cts:greekLit:tlg0057.tlg016,3264
urn:cts:greekLit:tlg0057.tlg017,194465
urn:cts:greekLit:tlg0057.tlg018,14727
urn:cts:greekLit:tlg0057.tlg019,6493
urn:cts:greekLit:tlg0057.tlg020,6056
urn:cts:greekLit:tlg0057.tlg021,20816
urn:cts:greekLit:tlg0057.tlg022,7721
urn:cts:greekLit:tlg0057.tlg023,4718
urn:cts:greekLit:tlg0057.tlg024,1767
urn:cts:greekLit:tlg0057.tlg025,820
urn:cts:greekLit:tlg0057.tlg027,8376
urn:cts:greekLit:tlg0057.tlg028,8203
urn:cts:greekLit:tlg0057.tlg029,6332
urn:cts:greekLit:tlg0057.tlg030,6264
urn:cts:greekLit:tlg0057.tlg031,4472
urn:cts:greekLit:tlg0057.tlg032,94604
urn:cts:greekLit:tlg0057.tlg033,14023
urn:cts:greekLit:tlg0057.tlg034,1710
urn:cts:greekLit:tlg0057.tlg035,606
urn:cts:greekLit:tlg0057.tlg036,66888
urn:cts:greekLit:tlg0057.tlg037,44605
urn:cts:greekLit:tlg0057.tlg038,10198
urn:cts:greekLit:tlg0057.tlg039,2213
urn:cts:greekLit:tlg0057.tlg040,502
urn:cts:greekLit:tlg0057.tlg041,6651
urn:cts:greekLit:tlg0057.tlg042,6091
urn:cts:greekLit:tlg0057.tlg043,6628
urn:cts:greekLit:tlg0057.tlg044,29450
urn:cts:greekLit:tlg0057.tlg045,20925
urn:cts:greekLit:tlg0057.tlg046,5299
urn:cts:greekLit:tlg0057.tlg047,3541
urn:cts:greekLit:tlg0057.tlg048,1580
urn:cts:greekLit:tlg0057.tlg049,5510
urn:cts:greekLit:tlg0057.tlg050,11088
urn:cts:greekLit:tlg0057.tlg051,9124
urn:cts:greekLit:tlg0057.tlg052,3254
urn:cts:greekLit:tlg0057.tlg053,5808
urn:cts:greekLit:tlg0057.tlg054,4224
urn:cts:greekLit:tlg0057.tlg055,3160
urn:cts:greekLit:tlg0057.tlg056,31877
urn:cts:greekLit:tlg0057.tlg057,11755
urn:cts:greekLit:tlg0057.tlg058,5983
urn:cts:greekLit:tlg0057.tlg059,42557
urn:cts:greekLit:tlg0057.tlg060,31237
urn:cts:greekLit:tlg0057.tlg061,32121
urn:cts:greekLit:tlg0057.tlg062,36354
urn:cts:greekLit:tlg0057.tlg063,15627
urn:cts:greekLit:tlg0057.tlg064,33894
urn:cts:greekLit:tlg0057.tlg065,27285
urn:cts:greekLit:tlg0057.tlg066,157677
urn:cts:greekLit:tlg0057.tlg067,22914
urn:cts:greekLit:tlg0057.tlg068,5977
urn:cts:greekLit:tlg0057.tlg069,9052
urn:cts:greekLit:tlg0057.tlg070,10067
urn:cts:greekLit:tlg0057.tlg071,703
urn:cts:greekLit:tlg0057.tlg072,2975
urn:cts:greekLit:tlg0057.tlg073,1985
urn:cts:greekLit:tlg0057.tlg074,3221
urn:cts:greekLit:tlg0057.tlg075,66975
urn:cts:greekLit:tlg0057.tlg076,143801
urn:cts:greekLit:tlg0057.tlg077,104024
urn:cts:greekLit:tlg0057.tlg078,27064
urn:cts:greekLit:tlg0057.tlg079,13028
urn:cts:greekLit:tlg0057.tlg081,8484
urn:cts:greekLit:tlg0057.tlg082,2528
urn:cts:greekLit:tlg0057.tlg083,11033
urn:cts:greekLit:tlg0057.tlg084,1370
urn:cts:greekLit:tlg0057.tlg085,24312
urn:cts:greekLit:tlg0057.tlg086,6595
urn:cts:greekLit:tlg0057.tlg087,66768
urn:cts:greekLit:tlg0057.tlg089,155962
urn:cts:greekLit:tlg0057.tlg092,95648
urn:cts:greekLit:tlg0057.tlg093,7444
urn:cts:greekLit:tlg0057.tlg094,7612
urn:cts:greekLit:tlg0057.tlg095,51359
urn:cts:greekLit:tlg0057.tlg096,9775
urn:cts:greekLit:tlg0057.tlg099,42724
urn:cts:greekLit:tlg0057.tlg100,41490
urn:cts:greekLit:tlg0057.tlg101,40987
urn:cts:greekLit:tlg0057.tlg102,14742
urn:cts:greekLit:tlg0057.tlg103,4013
urn:cts:greekLit:tlg0057.tlg107,1006
urn:cts:greekLit:tlg0057.tlg114,674
